# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct 29 14:41:38 2022
#
# User preference: *
#
# CONSTRAINT:  where (elat in [-.269,.269])
# CONSTRAINT:  order by sy_dist asc
#
# COLUMN pl_name:        Planet Name
# COLUMN gaia_id:        GAIA ID
# COLUMN elat:           Ecliptic Latitude [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_plx:         Parallax [mas]
# COLUMN disc_year:      Discovery Year
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_refname:   Discovery Reference
#
pl_name,gaia_id,elat,sy_dist,pl_orbper,pl_rade,pl_bmasse,pl_bmassprov,pl_dens,pl_orbincl,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_lum,st_logg,st_dens,ra,dec,sy_plx,disc_year,discoverymethod,disc_refname
K2-65 b,,0.12139,72.2000000,12.64750000,1.580,3.12000,M-R relationship,4.350000,89.148,,,5213.00,0.84,0.87,-0.328,4.53,,333.2125206,-10.9261373,15.5932000,2016,Transit,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>
K2-155 b,Gaia DR2 145333927996558976,-0.16969,72.7998000,6.34200000,1.800,3.89000,M-R relationship,3.670000,88.300,708,K7,4258.00,0.58,0.65,-1.229,4.60,5.41000,65.4696140,21.3532633,13.7077000,2018,Transit,<a refstr=HIRANO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..124H/abstract target=ref>Hirano et al. 2018</a>
K2-155 c,Gaia DR2 145333927996558976,-0.16969,72.7998000,13.85000000,2.600,7.27000,M-R relationship,2.270000,88.960,583,K7,4258.00,0.58,0.65,-1.229,4.60,5.41000,65.4696140,21.3532633,13.7077000,2018,Transit,<a refstr=HIRANO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..124H/abstract target=ref>Hirano et al. 2018</a>
K2-155 d,Gaia DR2 145333927996558976,-0.16969,72.7998000,40.71800000,1.900,4.27000,M-R relationship,3.420000,89.610,381,K7,4258.00,0.58,0.65,-1.229,4.60,5.41000,65.4696140,21.3532633,13.7077000,2018,Transit,<a refstr=HIRANO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..124H/abstract target=ref>Hirano et al. 2018</a>
K2-240 b,Gaia DR2 6257625719430982016,-0.05449,72.9105000,6.03400000,2.000,4.66000,M-R relationship,3.200000,89.260,586,M0.5 V,3810.00,0.54,0.58,-1.276,4.70,4.32946,227.8493710,-17.8754464,13.6878000,2018,Transit,<a refstr=D_IACUTE_EZ_ALONSO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.480L...1D/abstract target=ref>D&iacute;ez Alonso et al. 2018</a>
K2-240 c,Gaia DR2 6257625719430982016,-0.05449,72.9105000,20.52300000,1.800,3.89000,M-R relationship,3.670000,89.660,389,M0.5 V,3810.00,0.54,0.58,-1.276,4.70,4.32946,227.8493710,-17.8754464,13.6878000,2018,Transit,<a refstr=D_IACUTE_EZ_ALONSO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.480L...1D/abstract target=ref>D&iacute;ez Alonso et al. 2018</a>
1RXS J160929.1-210524 b,Gaia DR2 6243841249531772800,-0.06852,139.1350000,,18.647,3000.00000,Mass,2.540000,,1700,K7 V,4060.00,1.31,0.85,-0.370,4.00,0.38789,242.3762343,-21.0831403,7.1594900,2008,Imaging,<a refstr=LAFRENIERE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...689L.153L/abstract target=ref> Lafreniere et al. 2008 </a>
LkCa 15 b,Gaia DR2 144936836795636864,0.20507,158.1520000,,,,Msini,,50.000,,,4194.00,1.61,,-0.192,3.65,,69.8241791,22.3508662,6.2946500,2015,Imaging,<a refstr=SALLUM_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Natur.527..342S/abstract target=ref>Sallum et al. 2015</a>
LkCa 15 c,Gaia DR2 144936836795636864,0.20507,158.1520000,,,,Msini,,50.000,,,4194.00,1.61,,-0.192,3.65,,69.8241791,22.3508662,6.2946500,2015,Imaging,<a refstr=SALLUM_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Natur.527..342S/abstract target=ref>Sallum et al. 2015</a>
K2-408 b,Gaia DR2 6257641627989839744,0.14690,162.3060000,20.97895900,1.677,3.45000,M-R relationship,4.020000,,,G7,5335.00,0.78,0.81,-0.330,4.56,2.29463,227.9168555,-17.6842698,6.1329600,2022,Transit,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>
K2-68 b,Gaia DR2 2614734243939231232,0.17407,168.6520000,8.05428000,1.580,3.12000,M-R relationship,4.350000,88.715,,,4746.00,0.68,0.73,-0.673,4.63,3.28491,334.0195539,-10.5673649,5.9009200,2016,Transit,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>
K2-368 b,Gaia DR2 2613924969021549440,0.09746,206.6080000,5.02559800,1.332,2.34000,M-R relationship,5.440000,,,,4663.00,0.66,0.75,-0.693,4.67,3.55289,332.6357627,-11.1661157,4.8113800,2022,Transit,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>
K2-368 c,Gaia DR2 2613924969021549440,0.09746,206.6080000,9.66018600,1.361,2.42000,M-R relationship,5.270000,,,,4663.00,0.66,0.75,-0.693,4.67,3.55289,332.6357627,-11.1661157,4.8113800,2022,Transit,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>
K2-368 d,Gaia DR2 2613924969021549440,0.09746,206.6080000,20.20108500,1.948,4.45000,M-R relationship,3.310000,,,,4663.00,0.66,0.75,-0.693,4.67,3.55289,332.6357627,-11.1661157,4.8113800,2022,Transit,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>
WASP-68 b,Gaia DR2 6860535606196306304,0.21065,226.3990000,5.08430000,14.796,343.25640,Mass,0.665000,88.100,1490,G0,5910.00,1.79,1.49,0.505,4.17,0.36000,305.0957239,-19.3147271,4.3883900,2014,Transit,<a refstr=DELREZ_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...563A.143D/abstract target=ref> Delrez et al. 2014 </a>
